uniprot	pdb	region_1	region_2	1_aligned	complex_rmsd	1_comp	2_aligned	2_comp
P0AG30	1a62	1-47	48-123	1.044	1.375	1.782	1.463	1.209
P0AG30	1a63	1-47	48-123	2.003	2.828	3.292	3.294	2.326
P0AG30	1a8v	1-47	48-123	1.421	1.497	1.759	1.559	1.45
Q9L869	1e3d	17-163	182-264	0.754	0.766	0.797	0.762	0.828
P23687	1e5t	1-426	427-710	0.814	0.754	0.653	0.647	0.823
P23687	1e8m	1-426	427-710	0.865	0.802	0.691	0.691	0.875
P23687	1e8n	1-426	427-710	0.971	0.869	0.676	0.675	0.979
P23687	1h2w	1-426	427-710	0.844	0.771	0.647	0.636	0.855
P23687	1h2x	1-426	427-710	0.831	0.771	0.676	0.662	0.842
P23687	1h2y	1-426	427-710	0.795	0.739	0.644	0.636	0.807
P23687	1h2z	1-426	427-710	1.012	0.918	0.755	0.746	1.015
P04807	1ig8	75-209	210-458	1.123	1.44	3.687	1.148	2.237
P23687	1o6f	1-426	427-710	0.855	0.792	0.682	0.678	0.86
P23687	1o6g	1-426	427-710	0.989	0.905	0.761	0.743	1.037
O60729	1ohc	44-198	214-374	1.234	1.095	0.999	0.923	1.274
O60729	1ohd	44-198	214-374	1.245	1.104	0.973	0.935	1.283
O60729	1ohe	44-198	214-374	1.239	1.056	0.868	0.822	1.269
P14677	1pmd	632-691	692-750	2.834	2.381	2.683	1.299	3.119
P0AG30	1pv4	1-47	48-123	2.206	1.751	1.69	1.382	2.286
P0AG30	1pvo	1-47	48-123	1.949	1.562	1.386	1.227	2.165
P59676	1pyy	632-691	692-750	1.229	1.173	1.145	1.114	1.24
P23687	1qfm	1-426	427-710	0.993	0.906	0.754	0.751	0.997
P23687	1qfs	1-426	427-710	0.992	0.931	0.83	0.828	0.999
P14677	1qme	632-691	692-750	1.216	1.077	0.944	0.93	1.219
P14677	1qmf	632-691	692-750	1.389	1.27	1.165	1.151	1.386
P14677	1rp5	632-691	692-750	1.229	1.747	9.062	0.702	19.988
P83789	1ru3	41-122	488-732	1.0	7.685	23.21	1.313	28.221
Q8GN86	1t5d	9-366	416-492	1.438	1.787	3.029	2.222	6.693
Q8GN86	1t5h	9-366	416-492	1.396	1.782	3.073	2.244	6.547
Q8X5N8	1u9t	27-155	204-335	1.32	2.12	1.214	1.122	1.456
P23687	1uoo	1-426	427-710	0.847	0.804	0.742	0.727	0.862
P23687	1uop	1-426	427-710	0.853	0.808	0.74	0.721	0.877
P23687	1uoq	1-426	427-710	0.858	0.815	0.746	0.74	0.871
P23687	1vz2	1-426	427-710	0.919	0.854	0.749	0.732	0.951
P23687	1vz3	1-426	427-710	0.849	0.779	0.656	0.653	0.851
P0AG30	1xpo	1-47	48-123	1.876	2.436	4.884	1.427	5.695
P0AG30	1xpr	1-47	48-123	3.265	3.004	4.272	1.349	6.306
P0AG30	1xpu	1-47	48-123	1.924	1.531	1.628	1.164	2.079
P04958	1yvg	1-250	251-451	5.731	5.732	6.019	4.956	6.745
P04958	1z7h	1-250	251-451	5.742	5.747	5.933	5.399	6.216
P0AG30	2a8v	1-47	48-123	1.429	1.58	1.832	1.644	1.532
O16025	2fnq	374-490	491-1066	1.684	1.885	3.399	1.882	2.144
P0AG30	2ht1	1-47	48-123	3.435	2.368	2.148	1.977	3.642
O69275	2j3v	1-226	227-427	1.083	1.036	1.035	0.952	1.117
O69275	2j3x	1-226	227-427	1.042	0.971	0.901	0.87	1.084
O69275	2j3z	1-226	227-427	1.759	1.476	1.08	1.063	1.778
Q87I71	2p3y	95-204	361-467	1.267	1.269	1.398	1.039	1.918
Q8GN86	2qvx	9-366	416-492	1.365	1.633	2.629	1.84	6.104
Q8GN86	2qvy	9-366	416-492	1.382	1.654	2.674	1.855	6.249
Q8GN86	2qvz	9-366	416-492	1.341	1.595	2.559	1.826	5.56
Q8GN86	2qw0	9-366	416-492	1.379	1.634	2.63	1.972	5.629
Q72AS4	2wpn	52-205	237-315	1.497	1.342	1.007	0.898	1.638
P23687	2xdw	1-426	427-710	0.849	0.782	0.669	0.659	0.87
P04807	2yhx	75-209	210-458	11.54	18.81	44.059	17.793	32.634
Q941M3	3a9u	31-397	448-523	1.501	16.36	40.197	1.152	45.119
Q941M3	3a9v	31-397	448-523	1.27	11.919	28.54	1.098	55.27
F2Z6J5	3ayx	63-211	231-312	0.807	0.877	0.865	0.814	0.831
F2Z6J5	3ayz	63-211	231-312	0.774	0.858	0.853	0.812	0.803
Q8GN86	3cw8	9-366	416-492	1.27	1.458	2.256	1.219	5.76
Q8GN86	3cw9	9-366	416-492	1.303	10.917	25.825	1.193	59.492
Q8GN86	3dlp	9-366	416-492	1.323	1.549	2.45	1.344	5.835
O16025	3dy5	374-490	491-1066	1.392	1.334	1.892	1.307	1.466
P23687	3eq7	1-426	427-710	0.929	0.863	0.758	0.738	0.966
P23687	3eq8	1-426	427-710	0.925	0.878	0.799	0.793	0.934
P23687	3eq9	1-426	427-710	0.991	0.942	0.862	0.854	1.025
O16025	3fg1	374-490	491-1066	1.413	1.455	2.132	1.434	1.731
O16025	3fg3	374-490	491-1066	1.465	1.518	2.219	1.505	1.741
O16025	3fg4	374-490	491-1066	1.383	1.484	2.135	1.479	1.721
A0A0H2WY27	3hum	56-288	317-382	0.806	0.907	1.228	1.2	0.954
A0A0H2WY27	3hun	56-288	317-382	0.796	0.888	1.194	1.115	0.847
P0AG30	3ice	1-47	48-123	1.869	1.545	1.676	1.357	2.03
D3RV29	3myr	64-210	230-309	0.999	1.01	1.031	0.858	1.241
Q941M3	3ni2	31-397	448-523	1.196	12.076	28.903	1.071	55.301
Q51504	3oc2	58-206	247-546	1.459	1.677	2.498	1.427	2.469
Q51504	3ocl	58-206	247-546	1.382	1.512	1.729	1.365	1.645
Q51504	3ocn	58-206	247-546	1.485	1.629	2.081	1.345	2.778
Q51504	3pbs	58-206	247-546	1.309	1.17	1.145	1.073	1.399
Q7KLV9	3txm	1-223	224-392	1.707	1.644	1.934	1.213	2.368
Q7KLV9	3txn	1-223	224-392	1.696	1.659	1.901	1.17	2.622
Q87I71	3vb9	95-204	361-467	1.757	1.581	1.699	1.16	2.225
Q72AS4	3ze6	52-205	237-315	1.5	1.294	0.941	0.855	1.62
Q72AS4	3ze7	52-205	237-315	0.907	0.878	0.843	0.812	1.041
Q72AS4	3ze8	52-205	237-315	1.506	1.299	0.965	0.859	1.696
Q72AS4	3ze9	52-205	237-315	0.894	0.918	0.956	0.932	0.975
Q72AS4	3zea	52-205	237-315	0.899	0.909	0.942	0.918	1.041
P23687	4amy	1-426	427-710	0.842	0.771	0.649	0.636	0.869
P23687	4amz	1-426	427-710	0.846	0.786	0.686	0.672	0.874
P23687	4an0	1-426	427-710	0.836	0.771	0.659	0.654	0.844
P23687	4an1	1-426	427-710	0.874	0.805	0.686	0.668	0.919
P23687	4ax4	1-426	427-710	1.002	1.018	1.087	1.009	1.047
P23687	4bcb	1-426	427-710	0.864	0.796	0.678	0.67	0.882
P23687	4bcc	1-426	427-710	0.853	0.796	0.7	0.692	0.882
P23687	4bcd	1-426	427-710	0.85	0.785	0.674	0.664	0.876
Q8X5N8	4cdp	27-155	204-335	0.894	0.981	1.061	0.975	0.966
G0WVH3	4d4g	10-368	425-500	1.033	1.249	2.064	1.898	1.928
G0WVH3	4d4i	10-368	425-500	1.018	1.227	1.995	1.637	1.975
G0WVH3	4d56	10-368	425-500	1.0	1.256	2.167	1.872	2.314
G0WVH3	4d57	10-368	425-500	1.006	1.215	1.951	1.759	2.086
Q51504	4fsf	58-206	247-546	1.587	1.343	1.287	1.085	2.007
O68880	4imh	38-167	220-351	1.656	1.353	1.061	0.918	1.761
B9PW60	4ir8	11-171	201-324	1.123	1.221	1.104	1.03	1.282
P04958	4j1l	1-250	251-451	0.956	0.987	1.034	1.031	0.959
Q51504	4l0l	58-206	247-546	1.556	1.319	1.304	1.064	1.959
O68880	4mf9	38-167	220-351	1.562	1.271	0.957	0.827	1.642
O68880	4mgf	38-167	220-351	1.134	1.113	0.902	0.835	1.226
D9N168	4o0i	3-169	336-543	0.769	1.142	1.365	1.248	0.928
O16025	4qwt	374-490	491-1066	3.695	5.673	7.829	7.481	4.285
Q6NC13	4rmn	22-387	437-512	0.734	0.875	1.453	0.991	1.452
E1K248	4ud2	67-210	229-311	0.684	0.653	0.617	0.601	0.707
E1K248	4ud6	67-210	229-311	0.661	0.634	0.562	0.558	0.681
E1K248	4ueq	67-210	229-311	0.696	0.67	0.674	0.59	0.754
E1K248	4uew	67-210	229-311	15.32	15.812	32.258	2.113	30.165
F3Y661	4wv3	17-378	428-506	1.011	1.97	4.241	1.651	7.019
Q6NC13	4zjz	22-387	437-512	0.709	0.946	1.704	0.928	1.707
Q51504	5df7	58-206	247-546	1.885	3.247	6.367	1.145	6.137
Q51504	5df8	58-206	247-546	1.906	3.013	6.021	1.238	6.134
Q51504	5df9	58-206	247-546	2.392	2.267	4.22	1.163	3.27
A0A0A0V031	5e7q	11-372	422-496	1.056	3.04	7.031	1.524	6.95
A9T230	5iz1	93-291	295-424	5.363	3.994	1.644	1.063	5.229
P0AG30	5jji	1-47	48-123	1.405	1.173	1.242	0.968	1.734
P0AG30	5jjk	1-47	48-123	1.271	1.114	1.194	0.977	1.552
P0AG30	5jjl	1-47	48-123	1.278	1.14	1.49	0.967	1.705
Q72AS4	5jsh	52-205	237-315	0.839	0.852	0.893	0.85	1.021
Q72AS4	5jsk	52-205	237-315	0.911	0.905	0.914	0.87	1.129
Q72AS4	5jsu	52-205	237-315	0.906	0.906	0.932	0.894	1.08
Q72AS4	5jsy	52-205	237-315	0.93	0.897	0.892	0.855	1.098
Q72AS4	5jt1	52-205	237-315	0.881	0.884	0.95	0.892	1.05
A0R0V0	5kei	52-416	472-546	1.207	10.444	25.086	1.016	48.258
P04958	5n0b	1-250	251-451	1.109	1.021	0.91	0.874	1.138
P04958	5n0c	1-250	251-451	1.11	1.09	1.068	1.055	1.121
H2E7Q8	5n4b	1-80,452-730	81-451	1.28	1.561	1.899	1.501	1.855
H2E7Q8	5n4c	1-80,452-730	81-451	1.707	1.674	2.062	1.473	2.151
