uniprot	pdb	complex_rmsd	1.0_aligned	1.0_comp	1.1_aligned	1.1_comp	1.2_aligned	1.2_comp	2.0_aligned	2.0_comp	2.1_aligned	2.1_comp	2.2_aligned	2.2_comp	2.3_aligned	2.3_comp	region_1	region_2	state	conformation	gt_fn	bioemu_filename	1_aligned	1_comp	2_aligned	2_comp
O08967	2r09	7.765	0.0	0.0	2.765	14.438	1.312	17.192	0.904	14.293	0.0	0.0	0.0	0.0	0	0	251-265,383-395	77-206	Autoinhibited	Base	2r09.cif	O08967_bioemu_cluster_7.pdb	2.038	15.815	0.904	14.293
O08967	6bbq	14.373	0.0	0.0	6.376	25.542	0.776	37.006	0.983	47.296	0.0	0.0	0.0	0.0	0	0	251-265,383-395	77-206	Active	Alternate	6bbq.cif	O08967_bioemu_cluster_11.pdb	3.576	31.274	0.983	47.296
P00579	4llg	13.222	2.419	66.397	0.0	0.0	0.0	0.0	0.0	0.0	0.616	41.294	2.711	40.346	0	0	2-80	379-449,458-534	Active	Base	4llg.cif	P00579_bioemu_cluster_0.pdb	2.419	66.397	1.663	40.82
P00579	7khi	16.726	7.342	74.957	0.0	0.0	0.0	0.0	0.0	0.0	0.657	42.85	3.043	41.98	0	0	2-80	379-449,458-534	Active	Alternate	7khi.cif	P00579_bioemu_cluster_0.pdb	7.342	74.957	1.85	42.415
P07038	7ny1	2.942	5.314	7.221	0.0	0.0	0.0	0.0	1.346	8.606	0.0	0.0	0.0	0.0	0	0	892-917	562-625	Autoinhibited	Base	7ny1.cif	P07038_bioemu_cluster_0.pdb	5.314	7.221	1.346	8.606
P07038	1mhs	9.612	3.859	13.64	0.0	0.0	0.0	0.0	7.285	20.099	0.0	0.0	0.0	0.0	0	0	892-917	562-625	Active	Alternate	1mhs.cif	P07038_bioemu_cluster_0.pdb	3.859	13.64	7.285	20.099
P12931	4k11	3.45	0.0	0.0	1.238	4.175	0.591	3.719	0.0	0.0	0.641	5.179	3.313	13.887	0	0	249-269,151-248	84-145,524-536	Autoinhibited	Base	4k11.cif	P12931_bioemu_cluster_0.pdb	0.914	3.947	1.977	9.533
P12931	1y57	14.4	0.0	0.0	4.495	51.347	0.903	16.492	0.0	0.0	1.44	10.528	3.287	85.048	0	0	249-269,151-248	84-145,524-536	Active	Alternate	1y57.cif	P12931_bioemu_cluster_3.pdb	2.699	33.919	2.364	47.788
P21333	2j3s	5.332	5.787	15.063	0.0	0.0	0.0	0.0	1.626	10.77	0.0	0.0	0.0	0.0	0	0	2142-2235	2236-2325	Autoinhibited	Base	2j3s.cif	P21333_bioemu_cluster_2.pdb	5.787	15.063	1.626	10.77
P21333	4p3w	9.798	3.46	24.602	0.0	0.0	0.0	0.0	0.915	46.273	0.0	0.0	0.0	0.0	0	0	2142-2235	2236-2325	Active	Alternate	4p3w.cif	P21333_bioemu_cluster_7.pdb	3.46	24.602	0.915	46.273
P22681	4a49	1.943	1.311	3.45	0.0	0.0	0.0	0.0	1.494	3.805	0.0	0.0	0.0	0.0	0	0	353-380	381-435	Active	Base	4a49.cif	P22681_bioemu_cluster_14.pdb	1.311	3.45	1.494	3.805
P22681	2y1m	8.574	10.588	41.726	0.0	0.0	0.0	0.0	3.651	16.372	0.0	0.0	0.0	0.0	0	0	353-380	381-435	Autoinhibited	Alternate	2y1m.cif	P22681_bioemu_cluster_19.pdb	10.588	41.726	3.651	16.372
P26358	4wxx	3.708	11.328	37.072	0.0	0.0	0.0	0.0	2.477	10.066	0.0	0.0	0.0	0.0	0	0	647-714	1140-1602	Autoinhibited	Base	4wxx.cif	P26358_bioemu_cluster_0.pdb	11.328	37.072	2.477	10.066
P26358	7xi9	8.349	1.592	60.839	0.0	0.0	0.0	0.0	1.572	35.066	0.0	0.0	0.0	0.0	0	0	647-714	1140-1602	Active	Alternate	7xi9.cif	P26358_bioemu_cluster_0.pdb	1.592	60.839	1.572	35.066
P27577	1r36	3.468	0.0	0.0	1.045	10.588	2.131	4.679	1.744	3.592	0.0	0.0	0.0	0.0	0	0	304-310,416-441	335-415	Autoinhibited	Base	1r36.cif	P27577_bioemu_cluster_11.pdb	1.588	7.633	1.744	3.592
P27577	1md0	5.277	0.0	0.0	2.653	30.717	1.239	1.489	0.871	9.323	0.0	0.0	0.0	0.0	0	0	304-310,416-441	335-415	Active	Alternate	1md0.cif	P27577_bioemu_cluster_6.pdb	1.946	16.103	0.871	9.323
P28482	4qp2	1.604	3.107	3.414	0.0	0.0	0.0	0.0	0.0	0.0	1.339	4.115	0.944	3.813	0	0	173-196	25-172,197-313	Active	Base	4qp2.cif	P28482_bioemu_cluster_1.pdb	3.107	3.414	1.141	3.964
P28482	6slg	2.158	3.587	8.356	0.0	0.0	0.0	0.0	0.0	0.0	1.339	6.403	1.165	5.411	0	0	173-196	25-172,197-313	Autoinhibited	Alternate	6slg.cif	P28482_bioemu_cluster_1.pdb	3.587	8.356	1.252	5.907
P29350	3ps5	2.142	1.8	5.365	0.0	0.0	0.0	0.0	0.785	5.33	0.0	0.0	0.0	0.0	0	0	1-105	244-515	Active	Base	3ps5.cif	P29350_bioemu_cluster_0.pdb	1.8	5.365	0.785	5.33
P29350	2b3o	16.632	4.489	36.604	0.0	0.0	0.0	0.0	0.939	26.9	0.0	0.0	0.0	0.0	0	0	1-105	244-515	Autoinhibited	Alternate	2b3o.cif	P29350_bioemu_cluster_2.pdb	4.489	36.604	0.939	26.9
