gene_name	uniprot	protein_length	region_1	region_2	pdb	chain	af_filename	gt_fn	date
Nos1	P29476	1429.0	815-870	757-949	1b8q	A	F-P29476-F1-model_v3.cif	1b8q.cif	1999-02-01
Nos1	P29476	1429.0	815-870	757-949	1cmi	C	F-P29476-F1-model_v3.cif	1cmi.cif	1999-05-06
Nos1	P29476	1429.0	815-870	757-949	1f20	A	F-P29476-F1-model_v3.cif	1f20.cif	2000-05-22
Nos1	P29476	1429.0	815-870	757-949	1k2r	A	F-P29476-F1-model_v3.cif	1k2r.cif	2001-09-28
Nos1	P29476	1429.0	815-870	757-949	1k2s	A	F-P29476-F1-model_v3.cif	1k2s.cif	2001-09-28
Nos1	P29476	1429.0	815-870	757-949	1k2t	A	F-P29476-F1-model_v3.cif	1k2t.cif	2001-09-28
Nos1	P29476	1429.0	815-870	757-949	1k2u	A	F-P29476-F1-model_v3.cif	1k2u.cif	2001-09-28
Nos1	P29476	1429.0	815-870	757-949	1lzx	A	F-P29476-F1-model_v3.cif	1lzx.cif	2002-06-11
Nos1	P29476	1429.0	815-870	757-949	1lzz	A	F-P29476-F1-model_v3.cif	1lzz.cif	2002-06-11
Nos1	P29476	1429.0	815-870	757-949	1m00	A	F-P29476-F1-model_v3.cif	1m00.cif	2002-06-11
Nos1	P29476	1429.0	815-870	757-949	1mmv	A	F-P29476-F1-model_v3.cif	1mmv.cif	2002-09-04
Nos1	P29476	1429.0	815-870	757-949	1mmw	A	F-P29476-F1-model_v3.cif	1mmw.cif	2002-09-04
Nos1	P29476	1429.0	815-870	757-949	1om4	A	F-P29476-F1-model_v3.cif	1om4.cif	2003-02-24
Nos1	P29476	1429.0	815-870	757-949	1om5	A	F-P29476-F1-model_v3.cif	1om5.cif	2003-02-24
Nos1	P29476	1429.0	815-870	757-949	1p6h	A	F-P29476-F1-model_v3.cif	1p6h.cif	2003-04-29
Nos1	P29476	1429.0	815-870	757-949	1p6i	A	F-P29476-F1-model_v3.cif	1p6i.cif	2003-04-29
Nos1	P29476	1429.0	815-870	757-949	1p6j	A	F-P29476-F1-model_v3.cif	1p6j.cif	2003-04-29
Nos1	P29476	1429.0	815-870	757-949	1p6k	A	F-P29476-F1-model_v3.cif	1p6k.cif	2003-04-29
Nos1	P29476	1429.0	815-870	757-949	1qau	A	F-P29476-F1-model_v3.cif	1qau.cif	1999-03-29
Nos1	P29476	1429.0	815-870	757-949	1qav	B	F-P29476-F1-model_v3.cif	1qav.cif	1999-03-30
Nos1	P29476	1429.0	815-870	757-949	1qw6	A	F-P29476-F1-model_v3.cif	1qw6.cif	2003-09-01
Nos1	P29476	1429.0	815-870	757-949	1qwc	A	F-P29476-F1-model_v3.cif	1qwc.cif	2003-09-02
