uniprot,af_filename,mean_plddt_complex,mean_plddt_r1,mean_plddt_r2,mean_pae_1_1,mean_pae_1_2,mean_pae_2_2
A0A0R4I961,A0A0R4I961_trimmed_bd4a9_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,89.9960157402853,92.2033823529412,88.2335681610247,3.69442117585848,16.5210954301075,5.2700178433642
B5XAZ0,B5XAZ0_trimmed_efac9_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,93.2346062567422,97.0405555555556,93.0808305274972,0.8025,4.04076754385965,5.51976992920899
D2AJU0,D2AJU0_trimmed_4b43b_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,84.7746191206544,88.7058823529412,83.832696676483,4.93395027529838,16.075351076103,8.08377736128465
O00571,O00571_trimmed_93e16_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,88.888625889047,79.6382951653944,89.8859411764706,8.07339858392337,12.1303167750617,6.6575061133921
O08722,O08722_trimmed_25c1a_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,90.3856715938303,91.9384823848239,90.9957245325905,4.19289031713267,6.05976709030542,6.03938528979734
O08967,O08967_trimmed_1af92_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,83.5480129919755,44.545073738957,91.1237654909437,14.959545776644,22.154011627907,2.49266330148429
O60741,O60741_trimmed_e86f0_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,92.5664884135472,94.4270778267254,91.3019560878244,3.34821992110454,4.62081782464847,3.94817182622269
O76074,O76074_trimmed_46324_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,82.1839710716634,81.7982557077626,84.6111070911722,8.95858942474048,15.2152340336134,5.75157289795918
O95267,O95267_trimmed_1ac32_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,76.1380490797546,62.6866374012292,88.398004235045,17.6583567224989,24.1278008043965,3.78972264387849
O95376,O95376_trimmed_546a9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,94.9289844683393,95.9580152671756,94.1331465517241,2.79312931610604,3.68623262995368,2.01681331747919
P00519,P00519_trimmed_ee557_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb,89.0244745269287,88.9005649484379,91.3754750244858,7.77362909286098,16.5369562907789,4.31478040031111
P00520,P00520_trimmed_a5be2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,82.438581956798,70.0758008785756,89.9602549019608,15.8858823208582,16.8069241974809,4.51619148902398
P00523,P00523_trimmed_28d45_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,89.5663040484715,88.0226251685256,70.9994930949793,6.28388375225848,11.5778082924906,13.1855893679641
P00579,P00579_trimmed_c79d9_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,81.7896582397004,65.4445008183306,88.1987844132321,9.99343688362919,19.5685390640062,6.47374924741365
P04637,P04637_trimmed_31aac_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,81.6230191138141,43.3544017094017,94.0008421750663,13.8402378121284,30.5537313974592,3.87123324099723
P06241,P06241_trimmed_97a0a_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,90.4252952380952,86.9838477220575,69.7884028139656,6.81327339879506,12.4025189931125,13.4998379365239
P07038,P07038_trimmed_3b50e_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,82.5774511930586,55.565,82.1603476482618,8.23768,17.6513841269841,5.73160997732426
P07949,P07949_trimmed_a7575_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,86.8850406156477,56.8112359550562,88.8766989753268,4.5937037037037,15.2380743635819,6.26535941666364
P08631,P08631_trimmed_0181a_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,89.969164305949,87.3677358348403,93.547256820538,6.39508995704296,9.2840215538702,6.39422853622228
P09769,P09769_trimmed_ee7b4_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,87.9295033112583,83.351527661747,85.0518332139874,7.93731224359656,10.7972372840317,9.66258820038232
P11142,P11142_trimmed_a45d3_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,85.0958203125,86.017671957672,84.5564086687307,3.63387152777778,5.56122747747748,4.52715850986121
P12931,P12931_trimmed_cf462_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,89.1554836042987,88.5649586209541,67.3759828128782,6.19524519210331,10.7475374785223,13.1192118820732
P13864,P13864_trimmed_dc727_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb,86.8595512735911,74.2360393258427,91.1336045228902,4.29741020793951,18.6446542578384,5.64560601098343
P14633,P14633_trimmed_7530a_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,88.8125491502832,87.1114065180103,93.3031148459384,4.49355734112491,10.2078619029989,3.67650737057192
P14921,P14921_trimmed_a51e4_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,81.386958073149,54.271783919598,96.9950427350427,16.875696,20.719615,1.7878375
P15036,P15036_trimmed_9ed08_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,84.7906808943089,61.3739473684211,93.9313266761769,9.74157439446367,15.8848382352941,2.430753125
P15498,P15498_trimmed_e1998_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,82.5970392749245,56.956832460733,90.7109642616318,18.1962381167949,23.1389147747534,4.23009363003652
P16298,P16298_trimmed_fb64a_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,87.9935734946095,80.2593187802599,95.827307973665,4.64550160697888,7.76988104929896,3.42574319447538
P18654,P18654_trimmed_d73f1_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,80.120528548124,80.5161864406779,79.5006433166548,2.02284444444444,10.9597701804368,13.1866888255777
