uniprot	pdb	region_1	region_2	1_aligned	complex_rmsd	1_comp	2_aligned	2_comp
P27577	1md0	304-310,416-441	335-415	2.243	11.619	14.2	2.266	14.168
P07038	1mhs	892-917	562-625	7.798	35.473	22.631	6.405	22.551
P12931	1y57	249-269,151-248	84-145,524-536	5.895	18.847	30.22	4.385	44.881
P29350	2b3o	1-105	244-515	3.188	11.034	12.792	2.699	6.937
Q8NQJ3	2kb4	1-40	68-117	19.007	17.876	34.237	2.788	34.942
P22681	2y1m	353-380	381-435	8.241	24.777	28.335	9.595	21.202
P62826	3gj7	179-216	10-169	6.585	6.782	14.352	3.829	15.914
P53042	4ja7	28-129	495-499,200-494	2.538	18.77	25.25	10.2	40.203
P35520	4l28	414-551	40-413	3.016	16.898	31.412	5.017	36.511
P21333	4p3w	2142-2235	2236-2325	3.135	9.525	20.512	2.214	39.959
P60240	4s20	1-110	147-416,441-659	12.952	14.546	58.456	5.765	28.69
Q9Y6K1	4u7p	476-626	634-912	4.705	4.068	4.4	3.043	6.742
O08967	6bbq	251-265,383-395	77-206	6.938	31.593	33.968	5.372	34.843
P28482	6slg	173-196	25-172,197-313	5.363	11.366	5.293	2.559	6.617
P00579	7khi	2-80	379-449,458-534	13.812	32.94	29.464	7.394	57.457
