uniprot	pdb	region_1	region_2	1_aligned	complex_rmsd	1_comp	2_aligned	2_comp
Q63450	1a06	285-316	20-276	4.674	2.535	2.08	2.115	4.792
P08631	1ad5	142-239,240-259	76-136,425-514	2.998	4.494	21.03	2.489	44.454
Q08209	1aui	467-491	1-348	2.504	1.149	0.994	0.914	2.48
Q07889	1dbh	1-198	198-565	1.119	2.035	64.682	2.035	3.568
P22681	1fbv	353-380	381-435	8.685	24.896	47.682	5.274	34.426
P12931	1fmk	249-269,151-248	84-145,524-536	5.02	5.626	6.794	5.122	12.361
P14921	1gvj	280-330	335-415	7.612	7.063	14.8	1.192	14.295
P31751	1gzk	5-108,410-481	152-409	2.408	2.956	4.287	2.973	2.973
P31751	1gzn	5-108,410-481	152-409	2.436	2.896	4.137	2.903	3.05
P31751	1gzo	5-108,410-481	152-409	2.416	2.885	4.115	2.9	3.01
Q8IXJ6	1j8f	320-352	65-319	0.725	9.779	4.347	3.258	1.621
P31016	1jxm	428-498	534-709	2.07	1.371	1.517	1.087	2.117
P31016	1jxo	428-498	534-709	2.21	1.972	2.334	1.174	2.706
P62826	1k5d	179-216	10-169	10.987	18.087	43.236	5.004	44.067
P62826	1k5g	179-216	10-169	10.649	17.757	42.523	5.035	43.136
P27577	1k78	304-310,416-441	335-415	0.942	1.063	1.188	1.073	1.016
P27577	1k79	304-310,416-441	335-415	0.717	0.976	1.128	1.018	0.805
P27577	1k7a	304-310,416-441	335-415	0.692	1.015	1.198	1.06	0.746
P31016	1kjw	428-498	534-709	2.887	2.355	2.463	1.143	2.902
P12931	1ksw	249-269,151-248	84-145,524-536	5.043	5.479	6.237	4.757	15.044
P49137	1kwp	328-364	64-325	1.472	6.489	3.951	3.808	1.697
P27577	1md0	304-310,416-441	335-415	1.3	8.683	15.509	1.201	13.043
P27577	1mdm	304-310,416-441	335-415	1.103	3.729	22.011	1.226	4.53
P07038	1mhs	892-917	562-625	3.833	14.303	13.483	8.229	21.299
P31751	1mrv	5-108,410-481	152-409	1.959	2.639	4.199	2.666	2.583
P31751	1mry	5-108,410-481	152-409	1.952	3.182	4.578	3.267	2.74
P14633	1na6	26-100	185-404	2.266	1.701	3.058	1.428	2.704
P49137	1nxk	328-364	64-325	1.499	5.563	5.875	5.65	1.701
P49137	1ny3	328-364	64-325	1.539	5.183	5.738	5.448	1.636
P31751	1o6k	5-108,410-481	152-409	1.508	1.306	1.381	1.246	1.573
P31751	1o6l	5-108,410-481	152-409	1.275	1.297	1.382	1.267	1.392
P00520	1opk	1-60,61-121,127-217,218-241,383-400	242-493	1.072	1.521	1.869	1.754	1.249
P00519	1opl	67-113,127-217	242-493	4.441	22.252	50.026	14.557	65.389
P28482	1pme	173-196	25-172,197-313	1.109	1.533	1.247	0.984	1.245
P53686	1q14	300-320	1-280	3.356	4.831	32.82	3.297	16.607
P62826	1qbk	179-216	10-169	5.175	11.816	52.621	4.969	38.349
P08631	1qcf	142-239,240-259	76-136,425-514	2.6	4.148	18.644	2.322	41.869
P27577	1r36	304-310,416-441	335-415	3.058	4.818	7.603	2.289	5.472
P62826	1rrp	179-216	10-169	8.099	17.55	29.376	4.819	44.004
P53041	1s95	28-129,487-499	184-486	4.834	1.554	2.93	0.856	6.03
P36507	1s9i	75-102	72-74,103-369	1.139	1.959	2.382	1.835	1.46
Q02750	1s9j	75-102	68-74,103-361	1.555	4.549	42.726	4.603	4.364
Q96FI4	1tdh	244-245	220-280	1.288	1.648	7.335	1.428	2.347
P28482	1tvo	173-196	25-172,197-313	1.39	1.48	1.467	1.281	1.421
P53041	1wao	28-129,487-499	184-486	1.319	1.859	6.788	0.944	3.414
Q9UIK4	1wmk	292-301	23-285	1.02	1.348	1.851	1.187	1.216
P28482	1wzy	173-196	25-172,197-313	2.644	1.88	1.81	1.578	2.896
P43405	1xba	93-167,245-370	371-631	1.11	1.634	2.412	1.633	2.052
P43405	1xbb	93-167,245-370	371-631	0.877	1.607	2.532	1.591	1.915
P43405	1xbc	93-167,245-370	371-631	0.853	1.501	3.696	1.484	1.86
Q07889	1xd4	1-198	198-565	1.12	6.928	63.151	1.77	4.305
Q8RT31	1xsz	201-354	1-190	2.121	1.61	1.087	1.026	2.2
Q8RT31	1xt0	201-354	1-190	0.418	1.319	41.341	1.266	4.059
P12931	1y57	249-269,151-248	84-145,524-536	4.214	24.232	38.823	3.565	48.623
Q9UIK4	1z9x	292-301	23-285	1.044	1.159	1.798	1.09	1.204
Q9UIK4	2a27	292-301	23-285	0.971	1.145	1.573	1.048	1.011
Q9UIK4	2a2a	292-301	23-285	1.026	1.211	1.978	1.117	1.173
P54578	2ayn	329-351,429-433	105-483	1.443	5.535	39.178	5.535	6.03
P54578	2ayo	329-351,429-433	105-483	1.179	6.035	41.587	6.035	7.57
P29350	2b3o	1-105	244-515	2.392	26.054	63.821	1.218	57.128
P55957	2bid	21-51	60-195	5.328	8.675	8.322	7.655	8.566
P08631	2c0i	142-239,240-259	76-136,425-514	2.78	5.794	29.483	5.071	8.998
P08631	2c0o	142-239,240-259	76-136,425-514	2.708	5.729	29.282	5.087	8.994
P08631	2c0t	142-239,240-259	76-136,425-514	2.796	5.833	27.701	5.127	8.745
Q9UIK4	2cke	292-301	23-285	1.058	1.097	1.976	1.002	1.194
P41212	2dao	410-452	339-409	3.79	2.61	2.293	1.797	3.864
